Publikationsjahr	Indikator_Nr	jahr_num	jahr_char	Wert	Indikator_Label	Indikator_Name	Wohnviertel_id	Wohnviertel	Rang
2025	9	2024	2024	1925.827288428324	Baujahr&nbsp;Wohngebäude	Baujahrwohngebaeude	17	Matthäus	5
2025	9	2024	2024	1938.248858447488	Baujahr&nbsp;Wohngebäude	Baujahrwohngebaeude	18	Klybeck	12
2025	9	2024	2024	1947.96449704142	Baujahr&nbsp;Wohngebäude	Baujahrwohngebaeude	19	Kleinhüningen	17
2025	9	2024	2024	1960.445509822263	Baujahr&nbsp;Wohngebäude	Baujahrwohngebaeude	20	Riehen	20
2025	9	2024	2024	1965.555555555555	Baujahr&nbsp;Wohngebäude	Baujahrwohngebaeude	30	Bettingen	21
2025	10	2024	2024	0.099029126213	Anteil Einfamilienhäuser	Anteileinfhaeuser	1	Altstadt Grossbasel	8
2025	10	2024	2024	0.07326007326	Anteil Einfamilienhäuser	Anteileinfhaeuser	2	Vorstädte	6
2025	10	2024	2024	0.192629815745	Anteil Einfamilienhäuser	Anteileinfhaeuser	3	Am Ring	12
2025	10	2024	2024	0.129518072289	Anteil Einfamilienhäuser	Anteileinfhaeuser	4	Breite	9
2025	10	2024	2024	0.333609271523	Anteil Einfamilienhäuser	Anteileinfhaeuser	5	St. Alban	15
2025	10	2024	2024	0.027855153203	Anteil Einfamilienhäuser	Anteileinfhaeuser	6	Gundeldingen	2
2025	10	2024	2024	0.721459024159	Anteil Einfamilienhäuser	Anteileinfhaeuser	7	Bruderholz	20
2025	10	2024	2024	0.557239728759	Anteil Einfamilienhäuser	Anteileinfhaeuser	8	Bachletten	17
2025	10	2024	2024	0.363357215967	Anteil Einfamilienhäuser	Anteileinfhaeuser	9	Gotthelf	16
2025	10	2024	2024	0.165294924554	Anteil Einfamilienhäuser	Anteileinfhaeuser	10	Iselin	11
2025	10	2024	2024	0.243981782693	Anteil Einfamilienhäuser	Anteileinfhaeuser	11	St. Johann	13
2025	10	2024	2024	0.096551724137	Anteil Einfamilienhäuser	Anteileinfhaeuser	12	Altstadt Kleinbasel	7
2025	10	2024	2024	0.019841269841	Anteil Einfamilienhäuser	Anteileinfhaeuser	13	Clara	1
2025	10	2024	2024	0.332863187588	Anteil Einfamilienhäuser	Anteileinfhaeuser	14	Wettstein	14
2025	10	2024	2024	0.693274670018	Anteil Einfamilienhäuser	Anteileinfhaeuser	15	Hirzbrunnen	19
2025	10	2024	2024	0.062695924764	Anteil Einfamilienhäuser	Anteileinfhaeuser	16	Rosental	3
2025	10	2024	2024	0.069948186528	Anteil Einfamilienhäuser	Anteileinfhaeuser	17	Matthäus	5
2025	10	2024	2024	0.068493150684	Anteil Einfamilienhäuser	Anteileinfhaeuser	18	Klybeck	4
2025	10	2024	2024	0.153846153846	Anteil Einfamilienhäuser	Anteileinfhaeuser	19	Kleinhüningen	10
2025	10	2024	2024	0.655285313376	Anteil Einfamilienhäuser	Anteileinfhaeuser	20	Riehen	18
2025	10	2024	2024	0.774691358024	Anteil Einfamilienhäuser	Anteileinfhaeuser	30	Bettingen	21
2025	11	2024	2024	0.067	Anteil&nbsp;Grünfläche	Gruenflaechenanteil	1	Altstadt Grossbasel	1
2025	11	2024	2024	0.197	Anteil&nbsp;Grünfläche	Gruenflaechenanteil	2	Vorstädte	8
2025	11	2024	2024	0.243	Anteil&nbsp;Grünfläche	Gruenflaechenanteil	3	Am Ring	10
2025	11	2024	2024	0.36	Anteil&nbsp;Grünfläche	Gruenflaechenanteil	4	Breite	15
2025	11	2024	2024	0.315	Anteil&nbsp;Grünfläche	Gruenflaechenanteil	5	St. Alban	13
2025	11	2024	2024	0.177	Anteil&nbsp;Grünfläche	Gruenflaechenanteil	6	Gundeldingen	7
2025	11	2024	2024	0.713	Anteil&nbsp;Grünfläche	Gruenflaechenanteil	7	Bruderholz	19
2025	11	2024	2024	0.421	Anteil&nbsp;Grünfläche	Gruenflaechenanteil	8	Bachletten	17
2025	11	2024	2024	0.327	Anteil&nbsp;Grünfläche	Gruenflaechenanteil	9	Gotthelf	14
2025	11	2024	2024	0.372	Anteil&nbsp;Grünfläche	Gruenflaechenanteil	10	Iselin	16
2025	11	2024	2024	0.302	Anteil&nbsp;Grünfläche	Gruenflaechenanteil	11	St. Johann	12
2025	11	2024	2024	0.079	Anteil&nbsp;Grünfläche	Gruenflaechenanteil	12	Altstadt Kleinbasel	2
2025	11	2024	2024	0.159	Anteil&nbsp;Grünfläche	Gruenflaechenanteil	13	Clara	5
2025	11	2024	2024	0.288	Anteil&nbsp;Grünfläche	Gruenflaechenanteil	14	Wettstein	11
2025	11	2024	2024	0.597	Anteil&nbsp;Grünfläche	Gruenflaechenanteil	15	Hirzbrunnen	18
2025	11	2024	2024	0.155	Anteil&nbsp;Grünfläche	Gruenflaechenanteil	16	Rosental	4
2025	11	2024	2024	0.169	Anteil&nbsp;Grünfläche	Gruenflaechenanteil	17	Matthäus	6
2025	11	2024	2024	0.132	Anteil&nbsp;Grünfläche	Gruenflaechenanteil	18	Klybeck	3
2025	11	2024	2024	0.198	Anteil&nbsp;Grünfläche	Gruenflaechenanteil	19	Kleinhüningen	9
2025	11	2024	2024	0.793	Anteil&nbsp;Grünfläche	Gruenflaechenanteil	20	Riehen	20
2025	11	2024	2024	0.899	Anteil&nbsp;Grünfläche	Gruenflaechenanteil	30	Bettingen	21
2025	12	2024	2024	88.126472	Fläche&nbsp;pro&nbsp;Wohnung	Flaecheprowohnung	1	Altstadt Grossbasel	16
2025	12	2024	2024	82.156142	Fläche&nbsp;pro&nbsp;Wohnung	Flaecheprowohnung	2	Vorstädte	14
